id,date,closing_price,circulating_supply,market_cap,market_cap_rank,total_volume_day
binancecoin,2024-10-15,588.71,145887575.79,85928412504.44931,5,922914192.4897504
binancecoin,2024-10-16,593.79,145887575.79,86636583192.31186,5,1133724407.1369383
binancecoin,2024-10-17,600.72,145887575.79,87633144279.6967,5,941867678.3498796
binancecoin,2024-10-18,592.07,145887575.79,86333076752.49678,5,727488240.0562967
binancecoin,2024-10-19,599.79,145887575.79,87513331879.36797,5,620458607.0386341
binancecoin,2024-10-20,598.06,145887575.79,87250625179.78609,5,366372731.7293214
binancecoin,2024-10-21,604.74,145887575.79,88195432727.09534,5,403326085.9419088
binancecoin,2024-10-22,598.84,145887575.79,87325520925.89667,5,729415389.1626027
binancecoin,2024-10-23,593.25,145887575.79,86532749174.40143,5,793524643.3617057
binancecoin,2024-10-24,584.52,145887575.79,85255197630.47481,5,784000933.3228502
binancecoin,2024-10-25,594.33,145887575.79,86710819325.42433,5,644617281.7623655
binancecoin,2024-10-26,573.5,145887575.79,83449711140.45877,5,881784218.7704451
binancecoin,2024-10-27,582.7,145887575.79,85017771621.24681,5,522130327.4992685
binancecoin,2024-10-28,588.35,145887575.79,85827006527.09506,5,441842652.54891616
binancecoin,2024-10-29,600.3,145887575.79,87554214286.16765,5,644392069.212074
binancecoin,2024-10-30,605.99,145887575.79,88414948715.28604,5,1073038597.5710328
binancecoin,2024-10-31,595.76,145887575.79,86969500510.24303,5,850312506.2658379
binancecoin,2024-11-01,575.58,145887575.79,84000613909.2605,5,1036949641.1860024
binancecoin,2024-11-02,572.92,145887575.79,83572294995.76315,5,893454861.8709445
binancecoin,2024-11-03,568.18,145887575.79,82889818185.21948,5,613502646.373791
binancecoin,2024-11-04,557.97,145887575.79,81477370371.82082,5,807471288.4620364
binancecoin,2024-11-05,552.0,145887575.79,80509315395.44171,5,876900503.1809891
binancecoin,2024-11-06,563.18,145887575.79,82160078279.30705,5,782468123.611863
binancecoin,2024-11-07,591.17,145887575.79,86248682357.26794,5,1832779153.4980664
binancecoin,2024-11-08,598.61,145887575.79,87331183563.1823,5,1140184047.2747588
binancecoin,2024-11-09,598.05,145887575.79,87226205424.11293,5,1097148719.9339457
binancecoin,2024-11-10,623.03,145887575.79,91086187582.46588,5,2289560529.6535926
binancecoin,2024-11-11,628.5,145887575.79,91619975451.01256,5,2637125258.8770103
binancecoin,2024-11-12,655.0,145887575.79,95953859311.81076,5,1582512409.978541
binancecoin,2024-11-13,629.14,145887575.79,91663556242.0732,5,3680447411.470419
binancecoin,2024-11-14,620.67,145887575.79,90601254693.01842,5,3088847318.0117497
binancecoin,2024-11-15,620.71,145887575.79,90438980537.17252,5,3102474990.626613
binancecoin,2024-11-16,618.57,145887575.79,90211289977.11554,5,2050272135.7677736
binancecoin,2024-11-17,622.52,145887575.79,90600287238.66862,5,1452900658.074677
binancecoin,2024-11-18,617.85,145887575.79,90046308523.15709,5,1828130470.576308
binancecoin,2024-11-19,619.66,145887575.79,90317334784.22472,5,1651371565.818097
binancecoin,2024-11-20,615.92,145887575.79,89864910340.94922,5,1388983815.5660732
binancecoin,2024-11-21,607.3,145887575.79,88607714965.0514,5,1559086629.2346592
binancecoin,2024-11-22,623.5,145887575.79,90962065583.55013,5,2343280028.874276
binancecoin,2024-11-23,633.02,145887575.79,92349194787.00644,5,1846338179.2677584
binancecoin,2024-11-24,651.53,145887575.79,95008979222.82204,5,3373812879.967069
binancecoin,2024-11-25,661.69,145887575.79,96535188283.16573,5,2917371682.838013
binancecoin,2024-11-26,635.26,145887575.79,92608753001.29962,5,2394918621.268695
binancecoin,2024-11-27,613.73,145887575.79,89577669155.71219,5,2494275590.5107102
binancecoin,2024-11-28,645.15,145887575.79,94131145638.41046,5,1940704254.0273583
binancecoin,2024-11-29,654.59,145887575.79,95461592953.30748,5,2381977222.083153
binancecoin,2024-11-30,654.77,145887575.79,95500304653.1518,5,1553941107.9797518
binancecoin,2024-12-01,655.03,145887575.79,95585516151.45091,5,1682644261.813791
